reference,system,r1_f
"die moschusochsen der tundra gehören zu den wenigen großen säugetieren des nordens, die bis heute überlebt haben. als solche oldtimer der fauna sind sie aber längst nicht mehr mit allen originalteilen ausgestattet : bis zum ende des pleistozän vor rund 10000 jahren haben sie eine menge ihrer genetischen variabilität eingebüßt. in zusammenarbeit mit russischen und niederländischen forschern haben ross macphee und alex greenwood vom amerikanischen naturhistorischen museum in new york sequenzen mitochondrialer dna heutiger und bereits ausgestorbener moschusochsen ( ovibus moschatus ) verglichen. letztere stammten von funden im arktischen archipel nord - amerikas, dem yukon und der arktischen zone sibiriens. die proben heutiger tiere wurden in nord - amerika und grönland","muskoxen ( tundra muskox ) ist eine ausgestorbene gattung der weichtiere ( megafauna ). ihre fossilen funde wurden aus dem holozän in nordamerika, der taimyr-halbinsel und den neuen sibirischen inseln in nordost-grönland und grönland gefunden. die bezeichnung ist abgeleitet vom englischen „ muskox “, was sich mit „ tundra “ ableitet.",20.86
"die alzheimer - demenz könnte sich mit messmethoden, welche die hirnaktivität erfassen - wie elektroencephalografie ( eeg ) oder positronenemmissionstomografie ( pet ) -, frühzeitig diagnostizieren lassen, berichten zwei arbeitsgruppen. eine sichere alzheimer - diagnose, die bisher erst nach dem tod des patienten möglich ist, wäre wichtig, um frühzeitig mit fördermaßnahmen beginnen zu können. die forscher um leslie prichep von der universität new york hatten eegs von etwa 12000personen - darunter 3500demenzpatienten - per computeranalyse nach auffälligkeiten durchforstet. danach beobachteten sie in einem zeitraum von sieben bis zehn jahren 44personen im alter zwischen 64 und 79jahren, die unter leichten gedächtnistörungen litten, und versuchten, die vom","die von ossdaf entwickelte und gebaute methode zur diagnose der alzheimer-krankheit, auch als α-fdg-verfahren bezeichnet, ist ein verfahren, das patienten mit einer milden kognitiven behinderung ( msd ) im rahmen einer kryotherapie unterstützt. es wurde im jahr 2003 in einer prospektiven studie zur veränderung des alters und der entwicklung des zugrunde liegenden scheitel glucoserumsatzes veröffentlicht.",15.66
"wissenschaftler um in kwon chung von der yonsei universität in seoul haben einen neuen mechanismus gefunden, der die länge der telomere - den schutzkappen an den chromosomenenden - beeinflusst. wie sich herausstellte, beeinflussen zwei gegensätzliche kräfte in den zellen die grundlegenden aktivitäten der telomerase, jenes enzyms, das für eine verlängerung der telomer - dna zuständig ist. wie schon länger bekannt ist, fördert zum einen die interaktion mit dem hitzeschock - protein hsp90 die aktivität des enzyms. chungs team fand nun heraus, dass zum anderen das protein mkrn1 den zellulären abbau des enzyms kontrolliert und somit die verlängerung stoppen kann. die balance dieser beiden mechanismen reguliert die telomerase - menge in der zelle","die telomere-homöostase ist ein begriff aus der zellbiologie und beschreibt die bewegung von zellen, die durch die telomerase und eine gruppe von associated proteinen reguliert werden. die telomerase ist in diesem zusammenhang aktiv, während die homöostase in der regel durch posttranslationale modifikationen des katalytischen untereinheits htert, des enzyms telomerase, gesteuert wird.",26.29
"haben sie im urlaub mal wieder zu viel geschlemmt? und trotz radtour im grünen will das bäuchlein einfach nicht verschwinden? vielleicht wäre eine kleine sommer - diät angebracht? angebote, wie brigitte -, fasten - oder friss - die - hälfte - kuren, gibt es ja zur genüge - ein durchschlagender erfolg stellt sich allerdings nicht immer ein. auch der us - amerikanische arzt robert atkins meinte, die zauberformel gefunden zu haben, mit der sich lästige pfunde verbannen lassen. seine diät - revolution griff eine bereits mitte des 19. jahrhunderts propagierte reduktionskost auf, bei der auf kohlenhydrate weit gehend verzichtet wird, fette und proteine aber weiter hemmungslos genossen werden dürfen. fleisch, fisch und käse","unter einer kalorie versteht man in der ernährungswissenschaft eine maßnahme mit geringem kohlenhydratgehalt. in der wissenschaftlichen literatur wird der begriff teilweise synonym zu den gesetzen der thermodynamik benutzt. diese werden teilweise nicht den hauptverursachenden prinzipien zugerechnet, sind aber für die beobachtung essentiell. der begriff kalorie ist als fachterminus im zusammenhang mit der gewichtszunahme zu finden. als eine kalorie wird dabei eine maßzahl bezeichnet, die einem körper das gewicht",18.18
"die neue variante der creutzfeldt - jakob - krankheit ( vcjd ) tritt in jungen menschen nicht deswegen häufiger auf, weil diese mehr rindfleischprodukte zu sich nehmen. vielmehr müsse die vergleichsweise hohe empfänglichkeit für die erkrankung bei menschen unter 40jahren mit einem noch unbekannten altersphänomen zusammenhängen, folgern wissenschaftler der joseph - fourier - universität aus den ergebnissen einer statistischen analyse. die wissenschaftler hatten bei 137 unterschiedlich alten vcjd - patienten die rindfleisch - ernährungsgewohnheiten untersucht und vergebens versucht, diese als allein verantwortliche ursache mit dem ausbrechen der krankheit zu korrelieren. dass junge menschen häufiger an vcjd erkranken, müsse daher andere ursachen als deren vergleichsweise häufigeren rindfleischkonsum","die creutzfeldt-jacob-krankheit ( vcjd ) ist eine infektionskrankheit, welche in verschiedenen ländern der welt verbreitet ist. sie gehört zur gruppe der spongiformen enzephalopathien. die erkrankung wurde 1952 erstmals in großbritannien beschrieben und 1952 erstmals in deutschland nachgewiesen. 1955 wurde die erkrankung in einem bericht des tnf der universität zürich beschrieben. die creutzfeldt-jacob-krankheit gehörte zu den meldepflichtigen erkrankungen.",21.84
"zhou ping lu vom oak ridge national laboratory will mit seinem team erstmals amorphen stahl hergestellt haben, der sich für die massenproduktion eignet. amorphe substanzen besitzen oftmals bessere eigenschaften als ihre kristallinen gegenstücke. so auch das von lu hergestellte material : es ist zweimal härter als hochfestigkeitsstahl. bislang konnten wissenschaftler ausschließlich dünne folien aus amorphem stahl herstellen. diese werden beispielsweise in transformatoren eingesetzt, um deren verlustleistung zu reduzieren. durch zugabe von yttrium gelang es dem amerikanischen team nun jedoch, zentimeter dicke stücke aus der schmelze zu erzeugen. lu und seine kollegen sind davon überzeugt, dass sich ihr neuer werkstoff wirtschaftlich im herkömmlichen spritzgussverfahren herstellen lässt.","physical review ist eine wissenschaftliche fachzeitschrift, die von der physical review-verlagsgruppe herausgegeben wird. die zeitschrift wurde erstmals 1967 als physical review journal ( physical review ) gegründet. die physical review-zeitschrift veröffentlicht artikel, die sich mit themen aus den gebieten festkörperphysik, flüssigkeitsphysik und festkörperphysik beschäftigen. im rahmen ihrer forschungsprojekte wurden und werden verfahren zur herstellung von glasen mit großem durchmesser untersucht. berühmtheit erlangte die physical review-zeit",13.98
"elegant reiten die meerestiere auf den hohen wellen der ozeane und springen mehrere meter aus dem wasser heraus. junge delfine sind noch nicht so kraftvolle schwimmer wie die erwachsenen säuger. um die eigenen reserven zu schonen, bedienen sie sich für die fortbewegung eines tricks : an der seite der mutter nehmen sie eine bestimmte position ein, sodass sie quasi in ihrem windschatten durch die fluten gleiten. mit hilfe dieser energiesparmaßnahme kommt der delfinnachwuchs gar in den genuss eines kostenlosen trips. dieses phänomen hat daniel weihs vom israelischen institut für technologie nun näher beleuchtet, indem er die komplexen hydrodynamischen wechselwirkungen zwischen einer solchen mutter - kind - formation nachbildete. als ersatz für echte meeressäuger dienten ihm in seinem modell","drafting ( engl. für ‚absetzen ‘ ) in der verhaltensbiologie ist ein aktivitätsmuster bei tieren, bei dem individuen ohne physische kontakt zueinander stehen. es findet insbesondere bei wandernden delfinen statt. bei diesem verhalten bleiben die eltern der delfinen in der lage, ihre muttern zu trennen. drafting kann man in zwei formen unterscheiden.",13.79
"was schief gehen kann, geht schief. so oder so ähnlich kennt jeder murphy's law, kaum ein gesetz wird wohl so häufig zitiert. aber : wer war murphy? wer hatte diese lapidare weisheit ursprünglich geprägt? der nachbar von nick spark kannte ihn - oder vielmehr sein vater. zunächst skeptisch, begab sich der schriftsteller und dokumentarfilmer daher auf spurensuche und stieß dabei auf eine alte und immer wieder erzählte geschichte aus den vierziger jahren des letzten jahrhunderts, die von air - force - piloten handelt, experimenten zur verträglichkeit von beschleunigungskräften, dem schnellsten mann der welt, falsch gelöteten drähten in einem messinstrument und - einem ingenieur namens ed murphy, der eben jene worte vor sich hin gemurmelt haben soll","das murphyssche gesetz ( engl. : murphys law ) ist ein weit verbreitetes phänomen der us-amerikanischen wissenschaftsgeschichte. es äußert sich darin, dass es – grob gesprochen – einen gebrauch des ( medizinischen ) grundgesetzes des 19. jahrhunderts gibt, das mit der entwicklung der medizinischen grundlagen zu einem neuen medizinischen verständnis von erkrankungen und krankheiten zusammenhängt. dabei machen die begriffe „ murphyssche gesetz “ und „ murphys law “",16.39
"als im jahr79 der vesuv ausbrach und das antike herculaneum unter vulkanasche begrub, konservierte er gleichzeitig einen enorm wertvollen schatz. schon im 18. jahrhundert hatten archäologen damit begonnen, diesen zu heben : sie entdeckten bei einer der ersten überhaupt bekannten ausgrabungen in einer verschütteten römer - villa eine bibliothek mit hunderten von handbeschriebenen papyrus - schriftrollen, die den feuersturm überstanden hatten. zwar sind die rollen in den heißen gasen und schlacken des vulkan - hochofens außen und innen fast vollständig verkohlt, haben dabei aber entzifferbare texte erhalten. seit der entdeckung vor 260jahren versuchen antikenforscher nun, die herculaneum - funde auch zu lesen - ein extrem schwieriges und potenziell zer","der ausdruck papyri ( altgriechisch πάπυρος pápyros, deutsch ‚blatt, gefäß ‘ und γράμμα grámma, deutsch ‚geschriebenes ‘ ) bezeichnet wörter oder schriftstücke, die im herkullagen- oder altgriechischen schrifttum, also in der antike, gefunden wurden und dessen struktur heute bekannt ist.",10.88
"die quantenwelt scheint doch etwas weniger komplex aufgebaut zu sein, als physiker bislang dachten. das legt zumindest eine arbeit von stephanie wehner und ihren kollegen von der national university of singapore nahe. sie können nach ihren angaben belegen, dass zwei besondere eigenschaften der quantenphysik ein und dasselbe sind - und sich nur unterschiedlich manifestieren. der welle - teilchen - dualismus entspreche demnach einfach nur der heisenbergschen unschärferelation in anderer ausprägung, so das ergebnis. die verbindung tritt ganz natürlich hervor, wenn man sich vor augen führt, welche informationen man über ein system erhalten möchte, so wehner. beide aspekte lassen sich mit verschiedenen mathematischen gleichungen darstellen, doch existiert bislang keine verbindung zwischen beiden. wehner und co gelang","mit dem begriff interferometrie werden mathematische modelle bezeichnet, die die beziehungen zwischen den fundamentalen befunden der quantenmechanik und quantenphysik aufzeigen sollen. ihr name rührt daher, dass man mit hilfe der interferometrie die fundamentalen beziehungen zwischen den befunden erkennt ( engl. fundamental, das heißt, die fundamentalen beziehungen lassen sich mit hilfe der wpdrs aufzeigen ). diese werden in den mzi und der min- und max-entropie",20.77
"der magen von geiern muss einiges aushalten, denn schließlich fressen die vögel auch verwesendes fleisch, in dem es von keimen nur so wimmelt. und diese extreme ernährungsweise zeichnet sich auch im mikrobiom der neuweltgeier ab, das michael roggenbuck von der universität kopenhagen mit seinen kollegen untersucht hat. besonders vielfältig tummeln sich bakterien im gesicht und am schnabel der geier, was die biologen nicht verwundert : da die vögel oft bis zum hals in kadavern stecken und sich dabei großflächig mit körperflüssigkeiten aus dem aas benetzen, gelangen darüber auch viele keime auf ihren körper. im schnitt besiedeln hier mindestens 528bakterienarten die geier. dagegen nimmt die diversität extrem ab, je tiefer die for",als vultur microbiome ( wörtlich „ mikrobiom des magens “ ) bezeichnet man das mikrobiom der geschwüre des menschlichen verdauungstrakts.,4.26
"ein mensch müsste schneller als 770kilometer pro stunde rennen, um es an geschwindigkeit mit einem asiatischen sandlaufkäfer aufzunehmen - dem in relation zu seiner körpergröße schnellsten tier der erde : auf der jagd überbrückt dieses insekt pro sekunde teilweise bis zu 120körperlängen ; wir menschen bringen es nur auf maximal fünf. die hohe geschwindigkeit hat allerdings auch nachteile, denn die visuelle wahrnehmung der käfer kommt mit dem tempo nicht mit, und bilder verschwimmen, da ihre augen nicht mehr ausreichend licht aufnehmen können. warum sie dennoch erfolgreich beute erlegen, konnten nun daniel zurek von der university of pittsburgh und seine kollegen mit hochgeschwindigkeitskameras filmen und analysieren. im speziellen wollten sie herausfinden, wann sich die mandibeln, die kieferwerkzeuge der insekten","visuelle kollision ( englisch visual collision ) ist ein begriff aus der verhaltensforschung und der sportphysiologie, der in den 1940er jahren von cicindela spp. entwickelt wurde, in den 1950er jahren von dem gleichnamigen chinesischen sportler. die visualisierung visueller kollision erfolgt mittels visueller signale, vor allem visueller spiegelung ( engl. : visual cues ), und dient dazu, adaptive verhaltensweisen von verletzungen oder der abwehr von verletzungen",12.97
"vor 600millionen jahren erstreckte sich offensichtlich ein großes gebirge mit mehr als 2500kilometer länge über zentrale gebiete des damaligen superkontinents gondwana : es hatte damit ungefähr die ausmaße des himalajas und erstreckte sich vom heutigen westafrika ins nordöstliche brasilien - die beiden regionen waren damals noch in einer landmasse vereint. überreste dieses gebirges fanden carlos ganade de araujo von der universität sao paulo und seine kollegen an verschiedenen plätzen in brasilien, togo und mali, wo die erosion verschiedene mineralien und gesteine wie eklogite freigelegt hatte, die zur gleichen zeit in ähnlicher tiefe im erdmantel entstanden waren und die im rahmen der gebirgsbildung gehoben wurden. gleichzeitig setzte intensive erosion ein, welche die bergkette abtrug und die entstandenen","tiefkontinentmetamorphose ist ein veralteter begriff für die änderung der struktur des ediacariums, eines der wichtigsten chronostratigraphischen begriffe der erdgeschichte. das zustandsbild des ediacariums wird durch die stärke der subduktion, die damals im westlichen gondwana auftreten, bestimmt. das zustandsbild des ediacariums zeigt viele tief subduzierte gesteine, insbesondere  eclogite.",14.12
"wenn wir altern, ergrauen wir und unsere haut bekommt falten - wir können diesem prozess zusehen, ganz im gegensatz zum altern unseres gehirns, das sich durch geistigen abbau bemerkbar macht. mit hilfe der magnetresonanztomografie konnten nun jedoch wissenschaftler der stanford university auch einen blick auf unseren denkapparat werfen und zeigen, wie er sich mit fortschreitendem leben verändert. jason yeatman und co untersuchten dazu 24hirnregionen von menschen zwischen 7 und 85jahren und konzentrierten sich dabei auf die weiße substanz im gehirn : nervenfasern, deren weiße färbung durch die myelinscheiden des gewebes hervorgerufen wird. sie spielt eine wichtige rolle in der hirnentwicklung und könnte bei fehlerhafter entwicklung die ausbildung von unter anderem autismus oder schizoph","das white-matter-modell ist ein von us-amerikanischen biologen entwickeltes modell zur beschreibung von änderungen des bindegewebes der weißen substanz im gehirn von menschen und tieren. es wurde für die entwicklung des gehirns bei experimentellen untersuchungen mit magnetresonanztomographie und vakuumfluoreszenzmikroskopie entwickelt. in dem white-matter-modell werden die änderungen des bindegewebes im gehirn unter möglichst kurzen zeitlichen, räumlichen und phys",25.27
"dass die bakteriengemeinschaften, die auf und im menschlichen körper leben, eine ganz entscheidende rolle für unser wohlergehen spielen, ist lange bekannt. nun haben forscher nachgewiesen, dass ein häufiges bakterienmolekül auch die immunreaktion der lunge beeinflusst. in ihrer studie belegen die forscher um thomas clark vom imperial college in london, dass peptidoglycane, bestandteile bakterieller zellwände, die infektionsbekämpfung durch weiße blutkörperchen in den lungenbläschen verbessern. sie zeigen in ihrer studie an mäusen, dass die makrophagen weniger bakterientötende freie radikale produzieren, wenn die versuchstiere ihre darmbakterien verlieren. erhalten tiere ohne darmbakterien dagegen peptidoglycane, normalisierte sich die","die commensal microbiota ( kom, lat. für kommensale mikrobiota ) sind eine gruppe von mikroorganismen, die im inneren des menschlichen verdauungstraktes vorkommen und eine wichtige rolle als anpassungslinien für das immunsystem spielen. sie kommen als prokaryoten im darm, lunge, innere organe und im äußeren bereich des körpers vor. die bakterien kommen dort durch die commensal-microbiota-rezeptoren nod1- und nod2 ( granulozy",19.16
"frauen sind quasselstrippen und männer sitzen daneben und hören ja meistens doch nicht zu – so besagt es zumindest ein weit verbreitetes rollenklischee. ob das weibliche geschlecht aber tatsächlich gesprächiger ist, haben nun forscher um david lazer von der northeastern university in boston untersucht. sie kommen zu dem schluss : nur manchmal. lazer und seine kollegen beobachteten männliche und weibliche versuchspersonen in zwei verschiedenen situationen. im ersten szenario baten sie 79studenten, 12stunden lang an einem individuellen projekt zu arbeiten. wer wollte, konnte sich zwischenzeitlich nach belieben mit seinen kommilitonen austauschen. im zweiten szenario analysierten die forscher die gespräche von mitarbeitern eines callcenters während 12einstündiger mittagspausen. die sozialen interaktionen","mensch soziales verhalten bezeichnet alltagssprachlich die art und weise, wie menschen mit anderen personen interagieren. die sozialpsychologie versteht unter mensch sozialen verhalten das verhalten von individuen oder gruppen, das in beziehung zu gruppen steht. die forschungsrichtungen, die sich mit der beziehung zwischen menschen und tieren beschäftigen, bezeichnet man als sozialpsychologie.",15.76
"der eigentlich tropische pilz cryptococcus gattii, der schwere infektionen der lunge auslöst und in nordamerika bereits mehrere menschen getötet hat, kann sich sehr gut an eigentlich ungeeignete klimatische gegebenheiten anpassen. ein team um david engelthaler vom translational genomics research institute in flagstaff zeigte anhand von genomanalysen verschiedener stämme des pilzes, dass der erreger tatsächlich ursprünglich aus dem tropischen südamerika stammt, und sich von dort aus im kühlen nordwesten der vereinigten staaten eingenistet hat. zudem stellten sie fest, dass der pilz den sprung über die grenze seiner klimazone mehrfach geschafft hat, es handelte sich also nicht um ein einziges zufälliges ereignis, sondern um eine besondere fähigkeit des pilzes. das team um engelthaler sequenzierte die","cryptococcus gattii ( geschützte bezeichnung : cryptococcus neoformans var. gattii ) ist eine singuläre, nur in mittel- und südamerika vorkommende art der gattung cryptococcus. bislang ist die art in lediglich 70 ländern nachgewiesen, einige in ganz westeuropa jedoch in den vereinigten staaten. das artepitheton cryptococcus neformans wird in der molekularbiologie als art-epitheton verwendet.",16.95
"rot am wasserhahn bedeutet heiß, blau dagegen kalt - so haben wir es gelernt. und so betrachten wir eigentlich auch objekte und farben : rot steht für wärme, blau für kühles. und doch scheint unser gehirn in der temperaturwahrnehmung bisweilen durcheinanderzukommen, wie eine studie von hsin - ni ho und seinen kollegen zeigt. der kommunikationsforscher der japanischen telegraph and telephone corporation ließ testteilnehmer in einer extrem dunklen kammer die hand auf eine leuchtplatte auflegen, die temperaturgesteuert war und entweder blau oder rot aufleuchtete. anschließend befragten die wissenschaftler ihre probanden, was sich denn wärmer angefühlt hätte. zur großen überraschung antwortete die mehrheit, dass sich das blaue licht wärmer gewesen wäre, obwohl die leuchtplatte im test jeweils auf die gleiche",abhängigkeit von der farbe beeinflusst das urteil über die temperatur eines objektes. unter anderem kann die abhängigkeit der farbe von körpertemperatur und hautfarbe einfluss auf das temperaturgefühl haben.,12.66
"die natur entwickelt viele strategien, um dem nachwuchs den besten start ins leben zu ermöglichen. eine eher makaber anmutende nestbauweise haben michael staab von der universität freiburg und kollegen in der provinz zhejiang in südostchina gefunden. die neu entdeckte ameisenmauerwespe ( deuteragenia ossarium ) lagert zum schutz ihrer larven ameisenkadaver am rand ihres nests ein. wie alle wegwespen nutzt auch die ameisenmauerwespe für den nestbau längliche hohlräume, in denen sie, durch dünne wände aus pflanzenfasern, erde und harz getrennt, einzelne kammern anlegt. in diese deponiert sie eine gelähmte spinne als futterquelle und legt ein ei darauf ab. während die abschließende",hymenoptera show eine große variation in verhaltensweisen von säugetieren. es besteht in der phylogenie eine große untersuchung des verhaltens hymenoptera show.,10.53
